,기준년월(STD_YM),성별코드(SEX_CD),연령대코드(AGE_CD),시간대코드(TIME_CD),구매_고객수(ACC_CNT),구매건수(PURH_CNT),구매금액(PURH_AMT),구매지역(PURH_AREA),구매_시도명(P_SIDO_NM),구매_시군구명(P_SIGNGU_NM),구매_읍면동명(P_EMD_NM),세부분류코드(DETAL_CLASS_CD),세부분류명(DETAL_CLASS_NM),통계청분류코드(STAT_CLASS_CD),통계청분류명(STAT_CLASS_NM)
0,201908,2,4,3,1,1,5000,11350700,서울특별시,노원구,상계8동,1070104,두류,A,식료품 및 비주류음료
1,201902,1,4,3,1,1,381000,11680531,서울특별시,강남구,논현2동,1070109,과수,A,식료품 및 비주류음료
2,201902,1,5,5,1,1,3000,11680545,서울특별시,강남구,압구정동,1020602,감자스낵,A,식료품 및 비주류음료
3,201910,1,5,3,1,1,49000,11545610,서울특별시,금천구,독산제1동,2010204,섬유유연제,E,가정용품 및 가사 서비스
4,201807,1,5,5,1,3,32000,11710680,서울특별시,송파구,잠실3동,1060103,호상발효유,A,식료품 및 비주류음료
5,201904,2,6,4,1,2,10000,11200560,서울특별시,성동구,행당제1동,1070109,과수,A,식료품 및 비주류음료
6,201906,1,3,6,1,1,4000,11140540,서울특별시,중구,회현동,1011899,기타레토르트식품,A,식료품 및 비주류음료
7,201909,1,3,2,1,1,5000,11650530,서울특별시,서초구,서초3동,1011106,수산소재류(냉동),A,식료품 및 비주류음료
8,201910,2,2,4,1,2,2000,41117,경기도,수원시 영통구,,1060201,후레쉬우유,A,식료품 및 비주류음료
9,201905,1,6,4,1,1,1000,11710642,서울특별시,송파구,문정2동,1011399,기타수산가공식품,A,식료품 및 비주류음료
10,201809,2,3,4,1,1,7000,11680656,서울특별시,강남구,도곡2동,1070109,과수,A,식료품 및 비주류음료
11,201808,2,4,5,1,1,8000,11215870,서울특별시,광진구,구의제3동,1038899,빵/과자기획세트,A,식료품 및 비주류음료
12,201809,2,4,4,1,1,2000,11710642,서울특별시,송파구,문정2동,5010703,일회용용기,E,가정용품 및 가사 서비스
13,201803,2,5,2,1,1,6000,11530530,서울특별시,구로구,구로제2동,1060303,커피우유,A,식료품 및 비주류음료
14,201901,2,4,2,1,7,7000,11530530,서울특별시,구로구,구로제2동,1011101,만두류,A,식료품 및 비주류음료
15,201809,2,4,3,1,1,4000,11650590,서울특별시,서초구,방배본동,1011107,축산소재류(냉장/냉동),A,식료품 및 비주류음료
16,201903,2,4,6,1,1,1000,11350621,서울특별시,노원구,중계1동,1011306,김,A,식료품 및 비주류음료
17,201802,1,2,3,2,1,17000,11350621,서울특별시,노원구,중계1동,2010204,섬유유연제,E,가정용품 및 가사 서비스
18,201807,2,6,5,1,1,1000,11560535,서울특별시,영등포구,영등포동,1060103,호상발효유,A,식료품 및 비주류음료
19,201812,2,5,5,1,2,3000,11380690,서울특별시,은평구,진관동,2010306,물티슈,E,가정용품 및 가사 서비스
20,201807,2,2,4,3,1,9000,11545610,서울특별시,금천구,독산제1동,1020302,하드비스켓,A,식료품 및 비주류음료
21,201904,2,5,3,2,1,1000,11680720,서울특별시,강남구,일원본동,1010104,일반양념장,A,식료품 및 비주류음료
22,201908,2,5,6,1,1,16000,11500611,서울특별시,강서구,발산제1동,5010302,숟가락/젓가락,E,가정용품 및 가사 서비스
23,201802,1,5,5,1,1,3000,11305534,서울특별시,강북구,삼양동,2010503,탈취제,E,가정용품 및 가사 서비스
24,201811,2,4,3,1,4,18000,11350621,서울특별시,노원구,중계1동,1070108,조미채소,A,식료품 및 비주류음료
25,201807,2,6,5,1,1,3000,11545610,서울특별시,금천구,독산제1동,1050203,100%과즙음료,A,식료품 및 비주류음료
26,201811,2,4,3,2,1,10000,11320690,서울특별시,도봉구,방학제1동,1010904,편이간편식류,A,식료품 및 비주류음료
