,기준년월(STD_YM),성별코드(SEX_CD),연령대코드(AGE_CD),시간대코드(TIME_CD),구매_고객수(ACC_CNT),구매건수(PURH_CNT),구매금액(PURH_AMT),구매지역(PURH_AREA),구매_시도명(P_SIDO_NM),구매_시군구명(P_SIGNGU_NM),구매_읍면동명(P_EMD_NM),세부분류코드(DETAL_CLASS_CD),세부분류명(DETAL_CLASS_NM),통계청분류코드(STAT_CLASS_CD),통계청분류명(STAT_CLASS_NM),구매자지역(BUYER_AREA),구매자_시도명(B_SIDO_NM),구매자_시군구명(B_SIGNGU_NM),구매자_읍면동명(B_EMD_NM)
0,201908,2,4,3,1,1,5000,11350700.0,서울특별시,노원구,상계8동,1070104.0,두류,A,식료품 및 비주류음료,,,,
1,201902,1,4,3,1,1,381000,11680531.0,서울특별시,강남구,논현2동,1070109.0,과수,A,식료품 및 비주류음료,,,,
2,201902,1,5,5,1,1,3000,11680545.0,서울특별시,강남구,압구정동,1020602.0,감자스낵,A,식료품 및 비주류음료,,,,
3,201910,1,5,3,1,1,49000,11545610.0,서울특별시,금천구,독산제1동,2010204.0,섬유유연제,E,가정용품 및 가사 서비스,,,,
4,201807,1,5,5,1,3,32000,11710680.0,서울특별시,송파구,잠실3동,1060103.0,호상발효유,A,식료품 및 비주류음료,,,,
5,201904,2,6,4,1,2,10000,11200560.0,서울특별시,성동구,행당제1동,1070109.0,과수,A,식료품 및 비주류음료,,,,
6,201906,1,3,6,1,1,4000,11140540.0,서울특별시,중구,회현동,1011899.0,기타레토르트식품,A,식료품 및 비주류음료,,,,
7,201909,1,3,2,1,1,5000,11650530.0,서울특별시,서초구,서초3동,1011106.0,수산소재류(냉동),A,식료품 및 비주류음료,,,,
8,201910,2,2,4,1,2,2000,41117.0,경기도,수원시 영통구,,1060201.0,후레쉬우유,A,식료품 및 비주류음료,,,,
9,201905,1,6,4,1,1,1000,11710642.0,서울특별시,송파구,문정2동,1011399.0,기타수산가공식품,A,식료품 및 비주류음료,,,,
10,201809,2,3,4,1,1,7000,11680656.0,서울특별시,강남구,도곡2동,1070109.0,과수,A,식료품 및 비주류음료,,,,
11,201808,2,4,5,1,1,8000,11215870.0,서울특별시,광진구,구의제3동,1038899.0,빵/과자기획세트,A,식료품 및 비주류음료,,,,
12,201809,2,4,4,1,1,2000,11710642.0,서울특별시,송파구,문정2동,5010703.0,일회용용기,E,가정용품 및 가사 서비스,,,,
13,201803,2,5,2,1,1,6000,11530530.0,서울특별시,구로구,구로제2동,1060303.0,커피우유,A,식료품 및 비주류음료,,,,
14,201901,2,4,2,1,7,7000,11530530.0,서울특별시,구로구,구로제2동,1011101.0,만두류,A,식료품 및 비주류음료,,,,
15,201809,2,4,3,1,1,4000,11650590.0,서울특별시,서초구,방배본동,1011107.0,축산소재류(냉장/냉동),A,식료품 및 비주류음료,,,,
16,201903,2,4,6,1,1,1000,11350621.0,서울특별시,노원구,중계1동,1011306.0,김,A,식료품 및 비주류음료,,,,
17,201802,1,2,3,2,1,17000,11350621.0,서울특별시,노원구,중계1동,2010204.0,섬유유연제,E,가정용품 및 가사 서비스,,,,
18,201807,2,6,5,1,1,1000,11560535.0,서울특별시,영등포구,영등포동,1060103.0,호상발효유,A,식료품 및 비주류음료,,,,
19,201812,2,5,5,1,2,3000,11380690.0,서울특별시,은평구,진관동,2010306.0,물티슈,E,가정용품 및 가사 서비스,,,,
20,201807,2,2,4,3,1,9000,11545610.0,서울특별시,금천구,독산제1동,1020302.0,하드비스켓,A,식료품 및 비주류음료,,,,
21,201904,2,5,3,2,1,1000,11680720.0,서울특별시,강남구,일원본동,1010104.0,일반양념장,A,식료품 및 비주류음료,,,,
22,201908,2,5,6,1,1,16000,11500611.0,서울특별시,강서구,발산제1동,5010302.0,숟가락/젓가락,E,가정용품 및 가사 서비스,,,,
23,201802,1,5,5,1,1,3000,11305534.0,서울특별시,강북구,삼양동,2010503.0,탈취제,E,가정용품 및 가사 서비스,,,,
24,201811,2,4,3,1,4,18000,11350621.0,서울특별시,노원구,중계1동,1070108.0,조미채소,A,식료품 및 비주류음료,,,,
25,201807,2,6,5,1,1,3000,11545610.0,서울특별시,금천구,독산제1동,1050203.0,100%과즙음료,A,식료품 및 비주류음료,,,,
26,201811,2,4,3,2,1,10000,11320690.0,서울특별시,도봉구,방학제1동,1010904.0,편이간편식류,A,식료품 및 비주류음료,,,,
27,201912,2,3,5,1,1,5000,11305610.0,서울특별시,강북구,수유1동,2020101.0,개먹이,E,가정용품 및 가사 서비스,,,,
28,201808,2,7,5,1,1,6000,11560540.0,서울특별시,영등포구,여의동,1050302.0,컵/PET커피,A,식료품 및 비주류음료,,,,
29,201806,1,5,6,1,3,2000,11305534.0,서울특별시,강북구,삼양동,1070303.0,굴조개류,A,식료품 및 비주류음료,,,,
30,201907,2,4,5,1,1,27000,11710642.0,서울특별시,송파구,문정2동,1070106.0,엽채류,A,식료품 및 비주류음료,,,,
31,201808,2,5,5,1,1,2000,11230560.0,서울특별시,동대문구,전농제1동,1120299.0,기타건강즙,A,식료품 및 비주류음료,,,,
32,201812,2,5,5,1,1,34000,11230570.0,서울특별시,동대문구,전농제2동,3020107.0,핸드워시,L,기타 상품 및 서비스,,,,
33,201906,2,4,4,1,1,4000,11230660.0,서울특별시,동대문구,장안제2동,1060101.0,드링크발효유,A,식료품 및 비주류음료,,,,
34,201812,2,7,5,1,6,3000,28237.0,인천광역시,부평구,,1030102.0,과자빵류,A,식료품 및 비주류음료,,,,
35,201810,2,4,4,1,1,7000,11680656.0,서울특별시,강남구,도곡2동,1011501.0,어묵,A,식료품 및 비주류음료,,,,
36,201812,2,6,6,1,1,11000,11305555.0,서울특별시,강북구,송천동,1080102.0,소주,B,주류 및 담배,,,,
37,201805,1,6,5,1,1,3000,11410620.0,서울특별시,서대문구,홍제제1동,1040102.0,바 아이스크림,A,식료품 및 비주류음료,,,,
38,201903,1,5,5,1,1,6000,11500620.0,서울특별시,강서구,공항동,1050302.0,컵/PET커피,A,식료품 및 비주류음료,,,,
39,201809,2,3,6,1,2,4000,11380690.0,서울특별시,은평구,진관동,1010607.0,조리냉장식품,A,식료품 및 비주류음료,,,,
40,201807,2,3,6,1,1,2000,11380690.0,서울특별시,은평구,진관동,1060201.0,후레쉬우유,A,식료품 및 비주류음료,,,,
41,201803,1,4,4,1,1,6000,11350621.0,서울특별시,노원구,중계1동,1011301.0,건오징어류,A,식료품 및 비주류음료,,,,
42,201811,1,5,6,1,1,6000,11680720.0,서울특별시,강남구,일원본동,1070109.0,과수,A,식료품 및 비주류음료,,,,
43,201809,2,3,3,1,2,8000,11380690.0,서울특별시,은평구,진관동,1011104.0,조리냉동식품,A,식료품 및 비주류음료,,,,
44,201907,2,6,5,3,1,18000,11680610.0,서울특별시,강남구,대치2동,1020699.0,기타스낵류,A,식료품 및 비주류음료,,,,
45,201907,2,2,3,1,1,20000,11230560.0,서울특별시,동대문구,전농제1동,1050103.0,후레이버탄산,A,식료품 및 비주류음료,,,,
46,201804,2,4,6,1,1,1739000,11440590.0,서울특별시,마포구,용강동,1011601.0,일반두부,A,식료품 및 비주류음료,,,,
47,201910,1,4,5,1,1,15000,41135.0,경기도,성남시 분당구,,1020101.0,자일리톨껌,A,식료품 및 비주류음료,,,,
48,201904,2,3,5,1,3,5000,11545610.0,서울특별시,금천구,독산제1동,1020701.0,한과류,A,식료품 및 비주류음료,,,,
49,201808,2,6,4,1,2,2000,11650530.0,서울특별시,서초구,서초3동,1011102.0,튀김류,A,식료품 및 비주류음료,,,,
50,201809,2,4,3,1,1,1000,45113.0,전라북도,전주시 덕진구,,1020602.0,감자스낵,A,식료품 및 비주류음료,,,,
51,201809,1,5,4,1,1,2000,41360.0,경기도,남양주시,,1011606.0,곤약,A,식료품 및 비주류음료,,,,
52,201801,1,3,5,1,1,7000,11710680.0,서울특별시,송파구,잠실3동,1070106.0,엽채류,A,식료품 및 비주류음료,,,,
53,201910,2,3,3,1,1,5000,11650581.0,서울특별시,서초구,반포4동,1080104.0,위스키,B,주류 및 담배,,,,
54,201908,2,4,5,1,1,7000,41570.0,경기도,김포시,,3030199.0,기타네일케어,L,기타 상품 및 서비스,,,,
55,201809,1,3,5,1,1,2000,11380690.0,서울특별시,은평구,진관동,3020201.0,샴푸,L,기타 상품 및 서비스,,,,
56,201803,2,3,3,1,12,1000,11710680.0,서울특별시,송파구,잠실3동,1050302.0,컵/PET커피,A,식료품 및 비주류음료,,,,
57,201908,2,4,5,1,1,1000,11710642.0,서울특별시,송파구,문정2동,1060204.0,저지방우유,A,식료품 및 비주류음료,,,,
58,201809,2,5,5,1,1,65000,11500570.0,서울특별시,강서구,화곡제4동,5020205.0,쓰레기봉투,E,가정용품 및 가사 서비스,,,,
59,201810,2,6,5,1,1,36000,30200.0,대전광역시,유성구,,1070105.0,과채류,A,식료품 및 비주류음료,,,,
60,201906,2,3,4,1,1,2000,11230536.0,서울특별시,동대문구,용신동,1020601.0,옥수수스낵,A,식료품 및 비주류음료,,,,
61,201907,1,2,5,1,1,2000,11680700.0,서울특별시,강남구,세곡동,1010901.0,샐러드류,A,식료품 및 비주류음료,,,,
62,201811,1,3,3,1,1,1000,11380530.0,서울특별시,은평구,불광제2동,1030104.0,조리빵류,A,식료품 및 비주류음료,,,,
