,기준년월(STD_YM),성별코드(SEX_CD),연령대코드(AGE_CD),시간대코드(TIME_CD),구매_고객수(ACC_CNT),구매건수(PURH_CNT),구매금액(PURH_AMT),구매지역(PURH_AREA),구매_시도명(P_SIDO_NM),구매_시군구명(P_SIGNGU_NM),구매_읍면동명(P_EMD_NM),세부분류코드(DETAL_CLASS_CD),세부분류명(DETAL_CLASS_NM),통계청분류코드(STAT_CLASS_CD),통계청분류명(STAT_CLASS_NM),구매자지역(BUYER_AREA),구매자_시도명(B_SIDO_NM),구매자_시군구명(B_SIGNGU_NM),구매자_읍면동명(B_EMD_NM)
500,201902,2,6,4,3,1,16000,,,,,1050907.0,비타민음료,A,식료품 및 비주류음료,11215750.0,서울특별시,광진구,중곡제2동
501,201910,2,3,3,1,2,5000,,,,,1070201.0,달걀,A,식료품 및 비주류음료,11350595.0,서울특별시,노원구,공릉1동
502,201911,1,4,3,1,1,44000,,,,,1080102.0,소주,B,주류 및 담배,11215810.0,서울특별시,광진구,광장동
503,201809,2,3,4,1,1,4000,,,,,1080109.0,와인,B,주류 및 담배,11545610.0,서울특별시,금천구,독산제1동
505,201911,2,4,5,1,2,2000,,,,,4020206.0,자동차/기차/비행기,I,오락 및 문화,11230610.0,서울특별시,동대문구,답십리제2동
506,201908,2,4,5,1,2,1000,,,,,1070103.0,잡곡,A,식료품 및 비주류음료,11530770.0,서울특별시,구로구,오류제1동
507,201905,2,5,3,1,1,6000,,,,,1011107.0,축산소재류(냉장/냉동),A,식료품 및 비주류음료,11470670.0,서울특별시,양천구,신정6동
508,201805,2,6,4,1,3,2000,,,,,9020404.0,우산/양산,C,의류 및 신발,11500550.0,서울특별시,강서구,화곡제2동
509,201806,1,5,5,1,1,23000,,,,,1050604.0,결명자차음료,A,식료품 및 비주류음료,11545670.0,서울특별시,금천구,시흥제1동
510,201801,2,5,5,1,1,3000,,,,,1018899.0,가공식품기획세트,A,식료품 및 비주류음료,11710532.0,서울특별시,송파구,거여2동
511,201912,2,4,4,1,7,6000,,,,,1010601.0,소시지류,A,식료품 및 비주류음료,11650590.0,서울특별시,서초구,방배본동
